message,severity,attributes,tags,timestamp
Traceback (most recent call last):,error,"{""level"":""error""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""0e166dc3-33d4-4e60-809f-a4bbb2da834e"",""replica"":""1b9e7ddb-7ec5-4391-a8b6-37fa4889c500""}",2026-05-01T00:05:16.921705621Z
"  File ""/opt/venv/lib/python3.12/site-packages/livekit/agents/voice/remote_session.py"", line 120, in send_message",error,"{""level"":""error""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""0e166dc3-33d4-4e60-809f-a4bbb2da834e"",""replica"":""1b9e7ddb-7ec5-4391-a8b6-37fa4889c500""}",2026-05-01T00:05:16.921713099Z
    writer = await self._room.local_participant.stream_bytes(,error,"{""level"":""error""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""0e166dc3-33d4-4e60-809f-a4bbb2da834e"",""replica"":""1b9e7ddb-7ec5-4391-a8b6-37fa4889c500""}",2026-05-01T00:05:16.921719196Z
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^,error,"{""level"":""error""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""0e166dc3-33d4-4e60-809f-a4bbb2da834e"",""replica"":""1b9e7ddb-7ec5-4391-a8b6-37fa4889c500""}",2026-05-01T00:05:16.921726265Z
"  File ""/opt/venv/lib/python3.12/site-packages/livekit/rtc/participant.py"", line 656, in stream_bytes",error,"{""level"":""error""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""0e166dc3-33d4-4e60-809f-a4bbb2da834e"",""replica"":""1b9e7ddb-7ec5-4391-a8b6-37fa4889c500""}",2026-05-01T00:05:16.921733306Z
    await writer._send_header(),error,"{""level"":""error""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""0e166dc3-33d4-4e60-809f-a4bbb2da834e"",""replica"":""1b9e7ddb-7ec5-4391-a8b6-37fa4889c500""}",2026-05-01T00:05:16.921739143Z
"  File ""/opt/venv/lib/python3.12/site-packages/livekit/rtc/data_stream.py"", line 189, in _send_header",error,"{""level"":""error""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""0e166dc3-33d4-4e60-809f-a4bbb2da834e"",""replica"":""1b9e7ddb-7ec5-4391-a8b6-37fa4889c500""}",2026-05-01T00:05:16.921747581Z
    raise ConnectionError(cb.send_stream_header.error),error,"{""level"":""error""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""0e166dc3-33d4-4e60-809f-a4bbb2da834e"",""replica"":""1b9e7ddb-7ec5-4391-a8b6-37fa4889c500""}",2026-05-01T00:05:16.921754440Z
ConnectionError: engine: connection error: could not establish publisher connection: timeout,error,"{""level"":""error""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""0e166dc3-33d4-4e60-809f-a4bbb2da834e"",""replica"":""1b9e7ddb-7ec5-4391-a8b6-37fa4889c500""}",2026-05-01T00:05:16.921760830Z
Traceback (most recent call last):,error,"{""level"":""error""}","{""project"":""0a76380f-d0df-417a-9569-41105844a419"",""environment"":""e5634d09-4e06-496e-8080-fba598bd1bdd"",""service"":""da209c74-5171-45a2-9ce4-61b6314d2468"",""deployment"":""0e166dc3-33d4-4e60-809f-a4bbb2da834e"",""replica"":""1b9e7ddb-7ec5-4391-a8b6-37fa4889c500""}",2026-05-01T00:05:16.921767370Z
